No;Merek;Model;Tipe;Adjusted Volume (liter)*;Daya (watt);Rating Bintang (1-5);"Konsumsi Energi Tahunan &lt;br&gt;(kWh)*";Biaya Listrik Tahunan (Rp)
21;HISENSE;RR58D4IGN, RR60D4IGN, RR65D4IGN, RR68D4IGN, RR68D4IBN, RR68D4IRN, RR68D4IPN, RR68D4IKN, RR68D4ILN;Satu Pintu;42;26,06;2;202,11;291991,21
22;HISENSE;RR120D4IGN, RR122D4IGN, RR125D4IGN, RR125D4IBN, RR125D4IRN, RR125D4IPN, RR125D4IKN, RR125D4ILN;Satu Pintu;91;20,02;3;184,74;266896,77
23;HISENSE;RR195D4IGN, RR195D4IRN, RR195D4IBN, RR196D4IGN, RR198D4IGN, RR198D4IBN, RR198D4IRN, RR198D4IPN, RR198D4IKN, RR198D4ILN;Satu Pintu;157,5;20,67;3;181,31;261941,45
24;HISENSE;RR229D4IAN, RR229D4IBN, RR232D4IGN, RR235D4IGN, RR235D4IBN, RR235D4IRN, RR235D4IPN, RR235D4IKN, RR235D4ILN;Satu Pintu;183,5;23,46;3;225,14;325265,54
25;HISENSE;RT266D4IBN, RT266D4IGN;Dua Pintu;243,07;43,54;1;429,82;620962,4
26;BEKO;RDNT231I20HFK;Dua Pintu;263,43;38,04;2;367,26;530573,3
27;BEKO;RDNT271I10S;Dua Pintu;303,43;46,72;1;436,27;630283,6
28;BEKO;RDNT231I10S;Dua Pintu;263,43;42,19;1;399,81;577598,28
29;BEKO;RDNT271I20HFK;Dua Pintu;303,43;41,35;2;392,87;567572,07
30;BEKO;RDNT231I30VHFU;Dua Pintu;263,43;29,06;3;274,51;396584,6
31;BEKO;RDNT271I30VHFU;Dua Pintu;303,43;41,33;1;397,42;574151,23
32;BEKO;RDNT271I50VZWB;Dua Pintu;308,45;43,06;2;388,2;560826,76
33;BEKO;RDNT200I50S;Dua Pintu;211,98;43,27;1;421,19;608490,3
34;BEKO;RDNT231I50VZWB;Dua Pintu;263,45;39,47;2;366,81;529936,19
35;GEA;RS-06DR;Satu Pintu;51,43;32,77;1;301,76;435951,23
