No;Merek;Famili;Tipe;Daya (watt);Kapasitas Pendinginan (BTU/h);Nilai Efisiensi (EER/CSPF);Rating Bintang (1-5);Konsumsi Energi Tahunan (kWh);Biaya Listrik Tahunan (Rp);Baseline;;;;
132;Aqua;"AQA-KR9VQGL / AQA-CR9VQGL; AQA-KR9VQCL2S / AQA-CR9VQCL2S";Inverter;907.7;8740;5.58;5;1340.451369; Rp1,935,611.78 ;CSPF;;;;
133;Aqua;AQA-KR5FQGL / AQA-CR5FQGL;Non-Inverter;390.7;5000;3.41;2;1254.843179; Rp1,811,993.55 ;CSPF;;;;
134;Aqua;AQA-KR9FQAL3S (Indoor) - AQA-CR9FQAL3S (Outdoor);Non-Inverter;762.3;8329.68;3.4;2;2096.636922; Rp3,027,543.71 ;CSPF;;;;
135;Aqua;13ANP;Non-Inverter;1100.5;12132.46;3.43;2;3027.112609; Rp4,371,150.61 ;CSPF;;;;
136;Aqua;"AQAKRV5ANQC / AQACRV5ANQC; AQA-KR5VQC / AQA-CR5VQC ; AQA-KR5VRA / AQA-CR5VRA";Inverter;419.8;5000;4.37;4;979.1796889; Rp1,413,935.47 ;CSPF;;;;
137;Aqua;"AQAKRV5ANQC / AQACRV5ANQC; AQA-KR5VQC / AQA-CR5VQC ; AQA-KR5VRA / AQA-CR5VRA";Inverter;419.8;5000;4.37;4;979.1796889; Rp1,413,935.47 ;CSPF;;;;
138;ARISTON;KIOS 5 R32 UD0-I / KIOS 5 R32 MD0-O;Non-Inverter;396.7;4618.6;3.62;2;1091.881756; Rp1,576,677.26 ;CSPF;;;;
139;ARISTON;KIOS 12 R32 UD0-I / KIOS 12 R32 MD0-O;Non-Inverter;1037.6;11353.4;3.41;2;2849.34731; Rp4,114,457.52 ;CSPF;;;;
140;ARISTON;KIOS 18 R32 UD0-I / KIOS 18 R32 MD0-O;Non-Inverter;1482.9;16396.4;3.44;2;4079.095668; Rp5,890,214.14 ;CSPF;;;;
141;ARISTON;KIOS 9 R32 UD0-I / KIOS 9 R32 MD0-O;Non-Inverter;824.6;8646.2;3.26;1;2269.768195; Rp3,277,545.27 ;CSPF;;;;
142;ARISTON;KIOS 9 R32 UD1-I / KIOS 9 R32 MD1-O;Non-Inverter;780.9;8564.3;3.41;2;2149.370688; Rp3,103,691.27 ;CSPF;;;;
143;ARISTON;KIOS 12 R32 UD1-I / KIOS 12 R32 MD1-O;Non-Inverter;1062.5;11636.3;3.41;2;2920.346337; Rp4,216,980.11 ;CSPF;;;;
144;AUX;ASW-05B4/FOR1;Non-Inverter;350;5000;11.18;4;1022; Rp1,475,768.00 ;EER;;;;
145;AUX;ASW-05A4/FAR1;Non-Inverter;540;5000;10.52;4;1576.8; Rp2,276,899.20 ;EER;;;;
146;AUX;ASW-07A4/FAR1;Non-Inverter;720;7000;10.44;4;2102.4; Rp3,035,865.60 ;EER;;;;
147;AUX;ASW-09A4/FAR1;Non-Inverter;900;9000;10.5;4;2628; Rp3,794,832.00 ;EER;;;;
148;AUX;ASW-18A4/FAR1;Non-Inverter;1800;18000;10.47;4;5256; Rp7,589,664.00 ;EER;;;;
149;AUX;ASW-12A4/FAR1;Non-Inverter;1060;11121;10.48;4;3095.2; Rp4,469,468.80 ;EER;;;;
150;AUX;ASW-05A4/FHR1;Non-Inverter;468;5779.93;12.35;4;1366.56; Rp1,973,312.64 ;EER;;;;
151;AUX;"ASW-12A4/FHR1;ASW-12A4/JAR1";Non-Inverter;1072;11849.88;11.05;4;3130.24; Rp4,520,066.56 ;EER;;;;
152;AUX;ASW-05A4/FAR3;Non-Inverter;464;4868.92;10.49;4;1354.88; Rp1,956,446.72 ;EER;;;;
153;AUX;ASW-09A4/FFR3;Non-Inverter;468;8581.18;11.44;4;1366.56; Rp1,973,312.64 ;EER;;;;
